% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	10	3	7	1	0	19
0.026	1	7	3	7	2	0	19
0.026	1	2	3	7	3	0	19
0.026	1	4	3	7	4	0	19
0.027	1	10	3	8	1	0	19
0.027	1	7	3	8	2	0	19
0.027	1	2	3	8	3	0	19
0.027	1	4	3	8	4	0	19
0.028	1	10	3	9	1	0	19
0.028	1	7	3	9	2	0	19
0.028	1	2	3	9	3	0	19
0.028	1	4	3	9	4	0	19
0.029	1	10	3	10	1	0	19
0.029	1	7	3	10	2	0	19
0.03	1	2	4	1	3	0	19
0.03	1	4	4	1	4	0	19
0.03	1	10	4	1	1	0	19
0.03	1	7	4	1	2	0	19
0.031	1	2	4	2	3	0	7
0.031	1	4	4	2	4	0	7
0.031	1	8	4	2	11	0	7
0.031	1	6	4	2	12	0	7
0.031	1	5	4	2	13	0	7
0.031	1	1	4	2	14	0	7
0.031	1	10	4	2	1	0	7
0.031	1	7	4	2	2	0	7
0.032	1	2	4	3	3	0	7
0.032	1	4	4	3	4	0	7
0.032	1	8	4	3	11	0	7
0.032	1	6	4	3	12	0	7
0.032	1	5	4	3	13	0	7
0.032	1	1	4	3	14	0	7
0.032	1	10	4	3	1	0	7
0.032	1	7	4	3	2	0	7
