% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	15	13	2	1	28	935	0	0
0.121	1	9	13	2	2	28	935	0	0
0.121	1	7	13	2	3	28	373	0	0
0.122	1	7	13	3	3	28	549	0	0
0.122	1	10	13	3	4	28	935	0	0
0.122	1	11	13	3	13	28	749	0	0
0.123	1	18	13	4	14	28	935	0	0
0.123	1	23	13	4	15	26	903	0	0
0.123	1	14	13	4	16	28	185	0	0
0.124	1	14	13	5	16	28	749	0	0
0.124	1	24	13	5	25	24	935	0	0
0.124	1	1	13	5	26	28	185	0	0
0.125	1	1	13	6	26	28	749	0	0
0.125	1	17	13	6	27	28	935	0	0
0.125	1	3	13	6	28	28	549	0	0
0.126	1	8	13	7	34	28	935	0	0
0.126	1	16	13	7	35	28	935	0	0
0.126	1	5	13	7	36	28	373	0	0
0.127	1	5	13	8	36	28	549	0	0
0.127	1	2	13	8	37	28	935	0	0
0.127	1	19	13	8	43	28	749	0	0
0.128	1	6	13	9	44	28	935	0	0
0.128	1	25	13	9	45	22	807	0	0
0.129	1	4	13	10	46	28	935	0	0
0.129	1	22	13	10	48	28	935	0	0
0.129	1	12	13	10	49	28	373	0	0
0.13	1	23	14	1	15	26	903	0	0
0.13	1	12	14	1	49	28	549	0	0
0.13	1	13	14	1	50	28	549	0	0
0.131	1	24	14	2	25	24	935	0	0
0.131	1	20	14	2	51	28	935	0	0
0.132	1	15	14	3	1	28	0	0	0
0.132	1	9	14	3	2	28	0	0	0
0.132	1	7	14	3	3	28	0	0	0
0.132	1	10	14	3	4	28	0	0	0
0.132	1	11	14	3	13	28	185	0	0
0.132	1	18	14	3	14	28	0	0	0
0.132	1	23	14	3	15	26	149	0	0
0.132	1	14	14	3	16	28	0	0	0
0.132	1	24	14	3	25	28	0	0	0
0.132	1	1	14	3	26	28	0	0	0
0.132	1	17	14	3	27	28	0	0	0
0.132	1	3	14	3	28	28	373	0	0
0.132	1	8	14	3	34	28	0	0	0
0.132	1	16	14	3	35	28	0	0	0
0.132	1	5	14	3	36	28	0	0	0
0.132	1	2	14	3	37	28	0	0	0
0.132	1	19	14	3	43	28	185	0	0
0.132	1	6	14	3	44	28	0	0	0
0.132	1	25	14	3	45	22	233	0	0
0.132	1	21	14	3	53	28	935	0	0
0.133	1	11	14	4	13	28	0	0	0
0.133	1	18	14	4	14	28	0	0	0
0.133	1	23	14	4	15	28	0	0	0
0.133	1	3	14	4	28	28	0	0	0
0.133	1	19	14	4	43	28	0	0	0
0.133	1	25	14	4	45	28	0	0	0
0.133	1	4	14	4	46	28	0	0	0
0.133	1	22	14	4	48	28	0	0	0
0.133	1	12	14	4	49	28	0	0	0
0.133	1	13	14	4	50	28	373	0	0
0.133	1	20	14	4	51	28	0	0	0
0.133	1	21	14	4	53	28	0	0	0
0.134	1	14	14	5	16	28	0	0	0
0.134	1	24	14	5	25	28	0	0	0
0.134	1	13	14	5	50	28	0	0	0
0.135	1	25	14	6	45	22	807	0	0
0.135	1	1	14	6	26	28	0	0	0
0.135	1	17	14	6	27	28	0	0	0
0.136	1	22	14	7	48	28	935	0	0
0.136	1	8	14	7	34	28	0	0	0
0.136	1	16	14	7	35	28	0	0	0
