% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.018	1	0	2	9	1	0	81	0	0
0.019	1	0	2	10	2	0	81	0	0
0.02	1	0	3	1	3	0	81	0	0
0.021	1	10	3	2	4	0	81	0	0
0.022	1	0	3	3	5	0	81	0	0
0.023	1	0	3	4	6	0	81	0	0
0.024	1	0	3	5	7	0	81	0	0
0.025	1	0	3	6	8	0	81	0	0
0.026	1	0	3	7	9	0	81	0	0
0.027	1	0	3	8	10	0	81	0	0
0.028	1	0	3	9	11	0	81	0	0
0.029	1	0	3	10	12	0	81	0	0
0.03	1	11	4	1	13	0	81	0	0
0.031	1	18	4	2	14	28	2196	0	0
0.032	1	23	4	3	15	28	2196	0	0
0.033	1	14	4	4	16	28	2196	0	0
0.034	1	0	4	5	17	0	81	0	0
0.035	1	0	4	6	18	0	81	0	0
0.036	1	0	4	7	19	0	81	0	0
0.037	1	0	4	8	20	0	81	0	0
0.038	1	24	4	9	25	28	2196	0	0
0.039	1	1	4	10	26	28	2196	0	0
0.04	1	17	5	1	27	28	2196	0	0
0.041	1	3	5	2	28	28	2196	0	0
0.042	1	0	5	3	29	0	81	0	0
0.043	1	0	5	4	30	0	81	0	0
0.044	1	8	5	5	34	28	2196	0	0
0.045	1	16	5	6	35	28	2196	0	0
0.046	1	5	5	7	36	28	2196	0	0
0.047	1	2	5	8	37	28	2196	0	0
0.048	1	0	5	9	38	0	81	0	0
0.049	1	0	5	10	39	0	81	0	0
0.05	1	19	6	1	43	28	2196	0	0
0.051	1	6	6	2	44	28	2196	0	0
0.052	1	25	6	3	45	28	2196	0	0
0.053	1	4	6	4	46	28	2196	0	0
0.054	1	0	6	5	47	0	81	0	0
0.055	1	22	6	6	48	28	2196	0	0
0.056	1	12	6	7	49	28	2196	0	0
0.057	1	13	6	8	50	28	2196	0	0
0.058	1	20	6	9	51	28	2196	0	0
0.059	1	0	6	10	52	0	81	0	0
0.06	1	21	7	1	53	0	81	0	0
0.061	1	0	7	2	1	28	2196	0	0
0.062	1	0	7	3	2	28	2196	0	0
0.063	1	0	7	4	3	28	2196	0	0
0.064	1	10	7	5	4	28	2196	0	0
0.065	1	11	7	6	13	28	2196	0	0
0.066	1	21	7	7	53	28	2196	0	0
0.067	1	18	7	8	14	28	2196	0	0
0.068	1	23	7	9	15	28	2196	0	0
0.069	1	14	7	10	16	28	2196	0	0
0.07	1	24	8	1	25	28	2196	0	0
0.071	1	1	8	2	26	28	2196	0	0
0.072	1	17	8	3	27	28	2196	0	0
0.073	1	3	8	4	28	28	2196	0	0
0.074	1	8	8	5	34	28	2196	0	0
0.075	1	16	8	6	35	28	2196	0	0
0.076	1	5	8	7	36	28	2196	0	0
0.077	1	2	8	8	37	28	2196	0	0
0.078	1	19	8	9	43	28	2196	0	0
0.079	1	6	8	10	44	28	2196	0	0
0.08	1	25	9	1	45	28	2196	0	0
0.081	1	4	9	2	46	28	2196	0	0
0.082	1	22	9	3	48	28	2196	0	0
0.083	1	12	9	4	49	28	2196	0	0
0.084	1	13	9	5	50	28	2196	0	0
0.085	1	20	9	6	51	28	2196	0	0
0.086	1	0	9	7	1	28	2196	0	0
0.087	1	0	9	8	2	28	2196	0	0
0.088	1	0	9	9	3	28	2196	0	0
0.089	1	10	9	10	4	28	2196	0	0
0.09	1	11	10	1	13	28	2196	0	0
0.091	1	21	10	2	53	28	2196	0	0
0.092	1	18	10	3	14	28	2196	0	0
0.093	1	23	10	4	15	28	2196	0	0
0.094	1	14	10	5	16	28	2196	0	0
0.095	1	24	10	6	25	28	2196	0	0
0.096	1	1	10	7	26	28	2196	0	0
0.097	1	17	10	8	27	28	2196	0	0
