% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	15	13	2	1	28	2196	0	0
0.122	1	9	13	3	2	28	2196	0	0
0.123	1	7	13	4	3	28	2196	0	0
0.124	1	10	13	5	4	28	2196	0	0
0.125	1	11	13	6	13	28	2196	0	0
0.126	1	18	13	7	14	28	2196	0	0
0.127	1	14	13	8	16	28	2196	0	0
0.128	1	1	13	9	26	28	2196	0	0
0.129	1	17	13	10	27	28	2196	0	0
0.13	1	3	14	1	28	28	2196	0	0
0.131	1	8	14	2	34	28	2196	0	0
0.132	1	16	14	3	35	28	2196	0	0
0.133	1	5	14	4	36	28	2196	0	0
0.134	1	2	14	5	37	28	2196	0	0
0.135	1	19	14	6	43	28	2196	0	0
0.136	1	6	14	7	44	28	2196	0	0
0.137	1	4	14	8	46	28	2196	0	0
0.138	1	22	14	9	48	28	2196	0	0
0.139	1	12	14	10	49	28	2196	0	0
0.14	1	13	15	1	50	28	2196	0	0
0.141	1	20	15	2	51	28	2196	0	0
0.142	1	21	15	3	53	28	2196	0	0
0.143	1	23	15	4	15	26	1836	0	0
0.144	1	24	15	5	25	24	1620	0	0
0.145	1	22	15	6	48	28	2196	0	0
0.146	1	25	15	7	45	22	1383	0	0
0.15	1	23	16	1	15	26	1836	0	0
0.151	1	24	16	2	25	24	1620	0	0
0.153	1	25	16	4	45	22	1383	0	0
0.221	1	15	23	2	1	28	2196	0	0
0.222	1	9	23	3	2	28	2196	0	0
0.223	1	7	23	4	3	28	2196	0	0
0.224	1	10	23	5	4	28	2196	0	0
0.225	1	11	23	6	13	28	2196	0	0
0.226	1	18	23	7	14	28	2196	0	0
0.227	1	14	23	8	16	28	2196	0	0
0.228	1	1	23	9	26	28	2196	0	0
0.229	1	17	23	10	27	28	2196	0	0
0.23	1	3	24	1	28	28	2196	0	0
0.231	1	8	24	2	34	28	2196	0	0
0.232	1	16	24	3	35	28	2196	0	0
0.233	1	5	24	4	36	28	2196	0	0
0.234	1	2	24	5	37	28	2196	0	0
0.235	1	19	24	6	43	28	2196	0	0
0.236	1	6	24	7	44	28	2196	0	0
0.237	1	4	24	8	46	28	2196	0	0
0.238	1	22	24	9	48	28	2196	0	0
0.239	1	12	24	10	49	28	2196	0	0
0.24	1	13	25	1	50	28	2196	0	0
0.241	1	20	25	2	51	28	2196	0	0
0.242	1	21	25	3	53	28	2196	0	0
0.243	1	23	25	4	15	26	1836	0	0
0.244	1	24	25	5	25	24	1620	0	0
0.245	1	22	25	6	48	28	2196	0	0
0.246	1	25	25	7	45	22	1383	0	0
0.25	1	23	26	1	15	26	1836	0	0
0.251	1	24	26	2	25	24	1620	0	0
0.253	1	25	26	4	45	22	1383	0	0
0.321	1	15	33	2	1	28	2196	0	0
0.322	1	9	33	3	2	28	2196	0	0
0.323	1	7	33	4	3	28	2196	0	0
0.324	1	10	33	5	4	28	2196	0	0
