% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.018	1	0	2	9	1	0	81	0	0
0.019	1	0	2	10	2	0	81	0	0
0.02	1	0	3	1	3	0	81	0	0
0.021	1	0	3	2	1	0	81	0	0
0.022	1	0	3	3	1	0	81	0	0
0.023	1	0	3	4	1	0	81	0	0
0.024	1	0	3	5	1	0	81	0	0
0.025	1	0	3	6	2	0	81	0	0
0.026	1	0	3	7	2	28	2196	0	0
0.027	1	0	3	8	3	28	2196	0	0
0.028	1	10	3	9	4	28	2196	0	0
0.029	1	11	3	10	13	0	81	0	0
0.03	1	11	4	1	13	0	81	0	0
0.031	1	11	4	2	13	28	2196	0	0
0.032	1	18	4	3	14	28	2196	0	0
0.033	1	23	4	4	15	26	1836	0	0
0.034	1	14	4	5	16	28	2196	0	0
0.035	1	24	4	6	25	0	81	0	0
0.036	1	24	4	7	25	0	81	0	0
0.037	1	24	4	8	25	24	1620	0	0
0.038	1	1	4	9	26	28	2196	0	0
0.039	1	17	4	10	27	28	2196	0	0
0.04	1	3	5	1	28	28	2196	0	0
0.041	1	8	5	2	34	0	81	0	0
0.042	1	8	5	3	34	0	81	0	0
0.043	1	8	5	4	34	28	2196	0	0
0.044	1	16	5	5	35	28	2196	0	0
0.045	1	5	5	6	36	28	2196	0	0
0.046	1	2	5	7	37	28	2196	0	0
0.047	1	19	5	8	43	0	81	0	0
0.048	1	19	5	9	43	0	81	0	0
0.049	1	19	5	10	43	28	2196	0	0
0.05	1	6	6	1	44	28	2196	0	0
0.051	1	25	6	2	45	22	1383	0	0
0.052	1	4	6	3	46	28	2196	0	0
0.053	1	22	6	4	48	0	81	0	0
0.054	1	22	6	5	48	0	81	0	0
0.055	1	22	6	6	48	28	2196	0	0
0.056	1	12	6	7	49	28	2196	0	0
0.057	1	13	6	8	50	28	2196	0	0
0.058	1	20	6	9	51	28	2196	0	0
0.059	1	21	6	10	53	0	81	0	0
0.06	1	21	7	1	53	0	81	0	0
0.061	1	21	7	2	53	28	2196	0	0
0.062	1	0	7	3	1	28	2196	0	0
0.063	1	0	7	4	1	28	2196	0	0
0.064	1	0	7	5	1	28	2196	0	0
0.065	1	0	7	6	1	28	2196	0	0
0.066	1	0	7	7	1	28	2196	0	0
0.067	1	0	7	8	1	28	2196	0	0
0.068	1	0	7	9	1	28	2196	0	0
0.069	1	0	7	10	1	28	2196	0	0
0.07	1	0	8	1	2	28	2196	0	0
0.071	1	0	8	2	2	28	2196	0	0
0.072	1	0	8	3	2	28	2196	0	0
0.073	1	0	8	4	2	28	2196	0	0
0.074	1	0	8	5	1	28	2196	0	0
0.075	1	0	8	6	1	28	2196	0	0
0.076	1	0	8	7	1	28	2196	0	0
0.077	1	0	8	8	1	28	2196	0	0
0.078	1	0	8	9	1	28	2196	0	0
0.079	1	0	8	10	1	28	2196	0	0
0.08	1	0	9	1	1	28	2196	0	0
0.081	1	0	9	2	1	28	2196	0	0
0.082	1	0	9	3	2	28	2196	0	0
0.083	1	0	9	4	2	28	2196	0	0
0.084	1	0	9	5	2	28	2196	0	0
0.085	1	0	9	6	2	28	2196	0	0
0.086	1	0	9	7	1	28	2196	0	0
0.087	1	0	9	8	1	28	2196	0	0
0.088	1	0	9	9	1	28	2196	0	0
0.089	1	0	9	10	1	28	2196	0	0
0.09	1	0	10	1	1	28	2196	0	0
0.091	1	0	10	2	1	28	2196	0	0
0.092	1	0	10	3	1	28	2196	0	0
0.093	1	0	10	4	1	28	2196	0	0
0.094	1	0	10	5	2	28	2196	0	0
0.095	1	0	10	6	2	28	2196	0	0
0.096	1	0	10	7	2	28	2196	0	0
0.097	1	0	10	8	2	28	2196	0	0
