% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	15	13	2	1	28	2196	0	0
0.122	1	9	13	3	2	28	2196	0	0
0.123	1	7	13	4	3	28	2196	0	0
0.124	1	10	13	5	4	28	2196	0	0
0.125	1	11	13	6	13	28	2196	0	0
0.126	1	18	13	7	14	28	2196	0	0
0.127	1	23	13	8	15	26	1836	0	0
0.128	1	14	13	9	16	28	2196	0	0
0.129	1	24	13	10	25	24	1620	0	0
0.13	1	1	14	1	26	28	2196	0	0
0.131	1	17	14	2	27	28	2196	0	0
0.132	1	3	14	3	28	28	2196	0	0
0.133	1	8	14	4	34	28	2196	0	0
0.134	1	23	14	5	15	26	1836	0	0
0.135	1	16	14	6	35	28	2196	0	0
0.136	1	24	14	7	25	24	1620	0	0
0.137	1	5	14	8	36	28	2196	0	0
0.138	1	2	14	9	37	28	2196	0	0
0.139	1	19	14	10	43	28	2196	0	0
0.14	1	6	15	1	44	28	2196	0	0
0.141	1	25	15	2	45	22	1383	0	0
0.142	1	4	15	3	46	28	2196	0	0
0.143	1	22	15	4	48	28	2196	0	0
0.144	1	12	15	5	49	28	2196	0	0
0.145	1	13	15	6	50	28	2196	0	0
0.146	1	20	15	7	51	28	2196	0	0
0.147	1	21	15	8	53	28	2196	0	0
0.148	1	25	15	9	45	22	1383	0	0
0.15	1	22	16	1	48	28	2196	0	0
0.221	1	15	23	2	1	28	2196	0	0
0.222	1	9	23	3	2	28	2196	0	0
0.223	1	7	23	4	3	28	2196	0	0
0.224	1	10	23	5	4	28	2196	0	0
0.225	1	11	23	6	13	28	2196	0	0
0.226	1	18	23	7	14	28	2196	0	0
0.227	1	23	23	8	15	26	1836	0	0
0.228	1	14	23	9	16	28	2196	0	0
0.229	1	24	23	10	25	24	1620	0	0
0.23	1	1	24	1	26	28	2196	0	0
0.231	1	17	24	2	27	28	2196	0	0
0.232	1	3	24	3	28	28	2196	0	0
0.233	1	8	24	4	34	28	2196	0	0
0.234	1	23	24	5	15	26	1836	0	0
0.235	1	16	24	6	35	28	2196	0	0
0.236	1	24	24	7	25	24	1620	0	0
0.237	1	5	24	8	36	28	2196	0	0
0.238	1	2	24	9	37	28	2196	0	0
0.239	1	19	24	10	43	28	2196	0	0
0.24	1	6	25	1	44	28	2196	0	0
0.241	1	25	25	2	45	22	1383	0	0
0.242	1	4	25	3	46	28	2196	0	0
0.243	1	22	25	4	48	28	2196	0	0
0.244	1	12	25	5	49	28	2196	0	0
0.245	1	13	25	6	50	28	2196	0	0
0.246	1	20	25	7	51	28	2196	0	0
0.247	1	21	25	8	53	28	2196	0	0
0.248	1	25	25	9	45	22	1383	0	0
0.25	1	22	26	1	48	28	2196	0	0
0.321	1	15	33	2	1	28	2196	0	0
0.322	1	9	33	3	2	28	2196	0	0
0.323	1	7	33	4	3	28	2196	0	0
0.324	1	10	33	5	4	28	2196	0	0
